"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","037","1103","68107","12","34.06659","-118.22688","WGS84","Sample Max Baro Pressure","24 HOUR","","2023-05-24","2023","144","Millimeters (mercury)","None","","1","100.0000","","755","","755","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68108","12","34.06659","-118.22688","WGS84","Average Ambient Pressure","24 HOUR","","2023-05-24","2023","144","Millimeters (mercury)","None","","1","100.0000","","754","","754","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88102","12","34.06659","-118.22688","WGS84","Antimony PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0","","0","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88104","12","34.06659","-118.22688","WGS84","Aluminum PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.104","","0.104","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68105","12","34.06659","-118.22688","WGS84","Average Ambient Temperature","24 HOUR","","2023-05-24","2023","144","Degrees Centigrade","None","","1","100.0000","","15.8","","15.8","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68103","12","34.06659","-118.22688","WGS84","Ambient Min Temperature","24 HOUR","","2023-05-24","2023","144","Degrees Centigrade","None","","1","100.0000","","13.2","","13.2","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68104","12","34.06659","-118.22688","WGS84","Ambient Max Temperature","24 HOUR","","2023-05-24","2023","144","Degrees Centigrade","None","","1","100.0000","","20","","20","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68109","12","34.06659","-118.22688","WGS84","Elapsed Sample Time","24 HOUR","","2023-05-24","2023","144","Minutes","None","","1","100.0000","","1440","","1440","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68106","12","34.06659","-118.22688","WGS84","Sample Min Baro Pressure","24 HOUR","","2023-05-24","2023","144","Millimeters (mercury)","None","","1","100.0000","","753","","753","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88403","12","34.06659","-118.22688","WGS84","Sulfate PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","1.34","","1.34","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88306","12","34.06659","-118.22688","WGS84","Total Nitrate PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","1.4","","1.4","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68102","12","34.06659","-118.22688","WGS84","Sample Volume","24 HOUR","","2023-05-24","2023","144","Cubic meter","None","","1","100.0000","","9.7","","9.7","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","68101","12","34.06659","-118.22688","WGS84","Sample Flow Rate- CV","24 HOUR","","2023-05-24","2023","144","Percent","None","","1","100.0000","","0.7","","0.7","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88301","12","34.06659","-118.22688","WGS84","Ammonium Ion PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.87","","0.87","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88179","12","34.06659","-118.22688","WGS84","Uranium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0","","0","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88180","12","34.06659","-118.22688","WGS84","Potassium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.031","","0.031","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88183","12","34.06659","-118.22688","WGS84","Yttrium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0","","0","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88302","12","34.06659","-118.22688","WGS84","Sodium Ion Pm2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.15","","0.15","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88164","12","34.06659","-118.22688","WGS84","Vanadium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0","","0","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88167","12","34.06659","-118.22688","WGS84","Zinc PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.015","","0.015","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88168","12","34.06659","-118.22688","WGS84","Strontium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.001","","0.001","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88169","12","34.06659","-118.22688","WGS84","Sulfur PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.456","","0.456","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88152","12","34.06659","-118.22688","WGS84","Phosphorus PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.008","","0.008","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88154","12","34.06659","-118.22688","WGS84","Selenium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.005","","0.005","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88165","12","34.06659","-118.22688","WGS84","Silicon PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.064","","0.064","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88176","12","34.06659","-118.22688","WGS84","Rubidium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.001","","0.001","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
"06","037","1103","88161","12","34.06659","-118.22688","WGS84","Titanium PM2.5 LC","24 HOUR","","2023-05-24","2023","144","Micrograms/cubic meter (LC)","None","","1","100.0000","","0.003","","0.003","0",".","Y","","California","Los Angeles","Los Angeles","Los Angeles-North Main Street","1630 N MAIN ST, LOS ANGELES","Los Angeles-Long Beach-Anaheim, CA","AQS Data Mart"
